fkh,P32
sqd,MED19
sqd,CG6688
sqd,CG7069
CG16903,koi
CG16904,Usf
CG16904,CG17829
CG16904,CG8292
CG16941,CG3662
CG16947,frtz
CG16947,RpL3
CG16947,eIF3-S8
CG16947,CG7197
CG1695,vir-1
CG16953,CG7196
CG16953,CG9099
Hsp60D,Galphao
Hsp60D,trbl
Dd,CG31029
Dd,term
Dd,CG4820
Dd,CG4887
Or33a,Taf12
Or33a,Poxm
dgt2,dgt2
dgt2,alt
dgt2,E(spl)m5-HLH
dgt2,fl(2)d
dgt2,bdg
rho-4,ninaE
rho-4,Su(var)205
rho-4,lark
rho-4,LysD
CG16972,CG2678
CG16972,His2A:CG31618
CG16972,dhd
CG16972,CG4751
CG16972,RpLP2
CG16972,Uba2
CG16972,Ef1alpha48D
CG16972,CG8449
CG16972,CG8460
CG16972,wal
CG16972,Mpp6
CG16972,CG9468
msn,Neto
Sfmbt,CG17018
Sfmbt,Ubc-E2H
Sfmbt,Atg8a
Sfmbt,PGRP-LC
CG16978,l(2)06225
CG1698,Src64B
Roc1a,Zpr1
Roc1a,brk
skpA,slmb
skpA,CG4911
skpA,CG5327
skpA,CG7148
CG16984,Acam
CG16985,Cyt-c-p
CG16985,Yp1
CG16985,CG43373
CG16985,CG3800
CG16985,cher
CG16985,bib
CG16985,Rack1
CG16985,RpS11
daw,CG3838
CG16995,CG9986
CG17002,CG17018
CG17002,Acam
CG17002,Cpr72Ea
CG17003,CG5445
aust,fd59A
aust,CG7928
aust,M1BP
lectin-30A,CG9986
CG17018,alpha-catenin-related
CG17018,Nf-YC
CG17018,Myo95E
CG17018,sns
CG17018,CG3726
CG17018,Spx
CG17018,zf30C
CG17018,term
CG17018,msi
CG17018,CG6945
CG17018,CG7156
CG17018,Klp3A
GstT3,CycE
GstT3,tamo
CR17024,Poxm
klar,CG43373
klar,CG5466
Met,Droj2
CG43691,CG17230
CG43691,CG17265
CG43691,c(3)G
CG43691,CG17855
CG43691,CG2258
CG43691,Hsp60B
CG43691,nito
CG43691,noi
CG43691,HLH4C
CG43691,ewg
CG43691,CkIIalpha-i3
CG43691,CG32369
CG43691,CG3323
CG43691,CG3847
CG43691,ebo
CG43691,Aats-val
CG43691,aru
CG43691,Traf-like
CG43691,RhoGAP92B
CG43691,Tektin-A
CG43691,vret
CG43691,Ime4
CG43691,Prm
CG43691,CG6569
CG43691,dl
CG43691,mbo
CG43691,sip1
CG43691,Nup58
CG43691,CG7371
CG43691,DNApol-iota
CG43691,pcs
CG43691,CG7856
CG43691,nuf
CG43691,HP1e
CG43691,rau
CG43691,sip2
CG43691,sm
CG43691,CG9527
dod,CG17666
dod,ftz
dod,pim
dod,Pk17E
dod,exd
CG17059,CSN3
CG17068,Utx
CG17075,numb
CG17075,dx
CG17075,CG6607
pnt,ATPsyn-b
cos,CHIP
Cep135,CG2224
mthl9,Myo95E
CG43129,grk
CG43129,Sps2
CG43129,CG5282
CG43129,CG8301
CG43129,Mal-A1
CG43129,Dys
CG43129,CG34449
CG43129,Clp
CG43129,MED15
CG43129,Ime4
CG43129,ssp6
CG43129,CASK
CG43129,Rab26
CG43129,mnb
Vha100-1,CG9083
CG17097,noi
CG17097,CR31562
CG17097,dl
CG17107,l(2)37Ce
CG17107,CG43896
CG17107,CG17928
CG17107,Sam-S
CG17107,CG3618
CG17107,tsr
CG17107,CG5656
CG17107,thr
CG17107,CG6036
CG17107,CASK
CG17107,CG7755
CG17107,CG8170
CG17107,ics
CG17108,CG2371
hth,Golgin84
hth,Pkc98E
hth,Hsp60B
hth,Hrs
hth,CG4835
hth,RASSF8
CG17127,su(r)
CG17127,CG2371
CG17127,CG31029
CG17127,CG3918
CG17127,CG7338
CG17127,CG9368
CG17127,RpL22-like
tyn,CG18764
Rbp1,CG2199
Rbp1,CG3198
Rbp1,NAT1
Rbp1,eIF-4E
Rbp1,Arpc4
Rbp1,CG7546
CG17141,CG17666
thoc7,beag
ssp,ssp
ssp,CG17801
ssp,CG17928
ssp,Mhcl
ssp,CG42613
ssp,ninaC
ssp,CG6340
ssp,CG6569
ssp,CG6576
ssp,EloA
ssp,CG7514
ssp,row
ssp,Non1
ssp,upSET
CG17154,hng2
CG17154,rau
cpb,CG17744
cpb,CG1847
cpb,RpL12
cpb,RpL23
cpb,mRpS5
cpb,RpLP1
cpb,Hsp26
cpb,RecQ5
cpb,CG5537
cpb,Sirt6
cpb,Cp15
cpb,Cp16
cpb,porin
cpb,GlyP
cpb,Rpd3
cpb,CG8177
cpb,RpS18
Set2,CG4270
squ,RpL5
squ,Myo10A
squ,CG43427
squ,RpLP1
squ,Pk17E
squ,CG7813
CG17163,CG7763
CG17163,Cpr76Ba
mRpL39,4E-T
mRpL39,RpL3
CG17168,ttk
CG17168,mei-S332
ACXA,CG3731
CG17186,OS9
CG17186,CG2865
CG17186,Jupiter
CG17209,Pp1-87B
CG17211,Cpr35B
CG17211,row
CG17211,Spt
CG17217,CG9986
CG17221,CG3726
Or59c,CG3731
Or59c,CG42369
pros,SH3PX1
pros,Tab2
pros,CG9986
CG17230,beag
CG17230,CG4198
CG17230,CG5062
CG17230,Pih1D1
CG17233,CenG1A
CG17233,Gapdh2
CG17233,Cpr56F
CG17237,bif
CG17237,CG3621
CG17237,cher
CG17237,CG4169
CG17237,Hsp26
CG17237,Hsp23
CG17237,CG5191
CG17237,CG5676
CG17237,CG9426
CG17244,Taf11
CG17244,CG9293
PlexB,Epac
SdhA,Nha2
SdhA,stc
SdhA,CG7787
SdhA,MtnA
dlg1,CG17666
dlg1,CG17826
dlg1,CG42672
dlg1,knrl
dlg1,CG8301
dlg1,CG9572
dlg1,Cpr73D
dlg1,CG9986
Or42a,ttm50
nocte,Rbp9
Nek2,crn
CG17260,Mlc2
CG17260,Droj2
CG17264,Neto
CG17265,CG17265
CG17265,Mio
CG17265,noi
CG17265,Blos1
CG17265,CG3081
CG17265,CG31211
CG17265,CG45105
CG17265,CG3165
CG17265,qkr58E-1
CG17265,esg
CG17265,CG3880
CG17265,und
CG17265,CG4198
CG17265,l(2)efl
CG17265,Plap
CG17265,cact
CG17265,CG6758
CG17265,Dysb
CG17265,CG6985
CG17265,CG7172
CG17265,CG8173
CG17271,mr
CG17271,Rbp
CG17271,Tektin-A
CG17271,vret
CG17271,Pen
CG17271,Nup75
CG17271,CG7080
CG17271,CG34422
CG17271,mura
AdSS,CG4165
AdSS,Cdc5
AdSS,Vps39
Tim8,GEFmeso
Tim8,CG31211
spd-2,GEFmeso
spd-2,sip2
CG17290,term
CG17290,CG9776
CG17292,ttk
CG17292,Not10
Rcd4,e(r)
Rcd4,ewg
Rcd4,CG6497
CG17298,CG9986
2mit,Tctp
CG17325,bdg
CG17327,CG3880
CG17327,CG4853
CG17328,mask
CG17328,NimB4
CG17328,RpL3
Prosbeta4,Strn-Mlck
Prosbeta4,Cpr11A
Prosbeta4,MED15
VhaSFD,Rab2
VhaSFD,CG7849
CG17337,CG17568
CG17337,Pabp2
CG17337,Hsp60B
CG17337,CG30480
Lk6,CG17360
Lk6,RpL5
Lk6,CG42709
Lk6,CG2709
Lk6,CG3492
Lk6,Hsp27
Lk6,CG7386
Lk6,Spt
Lk6,betaTub56D
l(2)37Ce,CG5604
drl,Miro
Taf12,Su(H)
Taf12,aru
Taf12,CG5010
Taf12,Atg4b
Taf12,CG6569
Taf12,CG7518
Taf12,CG8004
Taf12,CG8229
Taf12,CG8303
Taf12,Rbsn-5
Taf12,rho-7
Taf12,CG9331
Taf12,C1GalTA
Taf12,CG9640
Taf12,p
CG17360,RpL19
CG17360,RpL15
CG17360,row
CG17361,trc
CG17362,CG4617
CG1737,CG5009
SppL,CG42369
CG17374,CG8219
CG17376,ssx
CG17376,Rcd-1r
CG17377,CG17377
CG17377,CG17666
CG17377,PhKgamma
CG17377,Sirt4
CG17377,Mbs
CG17377,CG3713
CG17377,Tequila
CG17377,CG4998
CG17377,CG6707
CG17377,mub
CG17377,NimC1
CG17377,rin
CG17377,disco
jigr1,emp
jigr1,vret
jigr1,Pen
jigr1,CG6569
jigr1,CG8997
Ntf-2,sav
Ntf-2,CG5466
Ntf-2,CG6891
Ntf-2,hale
CG41099,cnc
CG41099,koi
CG41099,CG3939
CG41099,CSN1a
CG41099,CG5642
CG41099,P32
CG41099,rau
CG41099,CG9083
CG17440,CG33213
Cfp1,CG31121
Cfp1,Usp12-46
Cfp1,kel
Cfp1,sip1
Cfp1,CG8924
Cfp1,M1BP
HP5,CG3338
HP5,Pp1-87B
HP5,CG6380
HP5,CG7928
CG1746,CG32264
CG1746,CG4887
CG1746,CG4998
CG1746,CG7196
CG1746,CG9319
Trf4-2,dco
Trf4-2,RpS8
Sk1,Kap-alpha3
CG17475,Tpc1
p120ctn,CG9368
RpL5,OS9
RpL5,noi
RpL5,VhaAC39-1
RpL5,4E-T
RpL5,Neto
RpL5,fd59A
RpL5,Bet3
RpL5,ebo
RpL5,CG4520
RpL5,veil
RpL5,CG5001
RpL5,RASSF8
RpL5,CG5645
RpL5,eIF4E-5
RpL5,Rbsn-5
RpL5,NaCP60E
RpL5,Rcd-1r
RpL5,M1BP
CG17494,CG1968
CG17494,Patsas
CG17494,mRpL50
Fis1,CG2371
Fis1,CG3880
Fis1,mus304
CkIIalpha,cad
CkIIalpha,Pkc98E
CkIIalpha,elB
CkIIalpha,CG4887
RpL10,Mst84Dc
RpL10,Lst8
RpL10,Sec16
RpL10,nAChRalpha2
RpL10,CG7546
RpL10,CG7987
RpL10,CG8187
RpL10,Dip-B
GstE3,tamo
Cbs,term
GstE7,Pp2B-14D
CG17544,vir-1
CG17544,CG5359
CG17549,CG5674
CG17556,CG32772
CG17556,CG3501
CG17556,CG9399
dnt,Tsc1
dnt,vnd
CG17564,CG17991
CG17564,Traf-like
CG17564,Abi
CR17567,CG3081
CR17567,CG34376
CR17567,slou
CR17567,spn-A
CR17567,Xpd
CG17568,l(2)gl
CG17568,CG3097
CG17568,CG32479
CG17568,Cyp4g1
CG17568,RpL39
CG17568,RpL15
CG17568,Hsc70-4
CG17568,cbt
CG17568,CG4709
CG17568,RpL3
CG17568,RpS27A
CG17568,CG5282
CG17568,sda
CG17568,CG6523
CG17568,Gug
CG17568,DNApol-eta
CG17568,CG7386
CG17568,RpL36
CG17568,RpL11
CG17568,CG8159
CG17568,RpS29
CG17568,RpL24
CG17568,by
CG17568,Hrb98DE
cad,RpS7
cad,CG2199
cad,CG31140
cad,CG44774
cad,noc
cad,CG34168
cad,Cp16
cad,lsn
cad,CG6933
cad,Khc
cad,Ef1alpha48D
Usf,alt
Usf,bip2
Usf,corto
Usf,CG31619
Usf,dsx-c73A
Usf,TwdlT
Usf,CG6685
Usf,bnb
Usf,Ef1alpha48D
Usf,CG9083
S6kII,CG18301
S6kII,Hexim
S6kII,RpL35
S6kII,gnu
CG17597,Mst89B
CG17599,CG17660
CG17599,Cht2
CG17599,msd5
CG17599,RpS17
CG17599,CG4617
CG17599,shu
CG17599,Tm1
CG17599,RASSF8
CG17599,CG5343
CG17599,CG6497
CG17599,Lam
CG17600,D1
CG17601,Cdlc2
c(3)G,CG31523
c(3)G,CG3838
c(3)G,PGRP-LC
c(3)G,HLH54F
c(3)G,RASSF8
c(3)G,RnrL
c(3)G,Fim
c(3)G,yrt
CG17612,row
Pglym87,TFAM
CG17652,CG4617
Eno,CG2540
Eno,CG3308
Eno,st
Eno,CG4853
Eno,CG6707
Eno,CG7352
CG17660,RpL32
CG17666,Xrp1
CG17666,CG18180
CG17666,Vha100-2
CG17666,CG2127
CG17666,CG2144
CG17666,Gsc
CG17666,ssx
CG17666,CG3078
CG17666,CG31211
CG17666,aop
CG17666,rols
CG17666,Mbs
CG17666,Ccn
CG17666,CG32369
CG17666,CG34449
CG17666,NimB4
CG17666,Cpr35B
CG17666,Clp
CG17666,esg
CG17666,RpL15
CG17666,RpLP1
CG17666,CG4116
CG17666,aru
CG17666,Tektin-A
CG17666,RpL3
CG17666,sala
CG17666,CG5080
CG17666,CG5225
CG17666,Miro
CG17666,Cpr92F
CG17666,ari-2
CG17666,RpL37A
CG17666,CG5866
CG17666,DNApol-alpha73
CG17666,fl(2)d
CG17666,slou
CG17666,ssp6
CG17666,CG6707
CG17666,CG6972
CG17666,Rab26
CG17666,alc
CG17666,wntD
CG17666,CG8568
CG17666,CG8910
CG17666,MCPH1
CG17666,eIF-4a
CG17666,frj
CG42709,CG3192
CG42709,CycB
CG42709,Act5C
CG42709,Nipped-B
CG42709,Rpt2
CG42709,scu
CG42709,RpL22
CG42709,scyl
CG42709,Cys
CG42709,Ef1alpha48D
CG42709,CG15771
dap,CG4194
CG17721,rols
ZnT63C,CG3071
Pepck,CG42672
Pepck,Tequila
Pepck,dgt4
CG17726,CG8907
CG17737,Trn-SR
CG17737,CSN1a
CG17737,Jon65Aiv
CG17739,Cyp28d2
CG17739,su(s)
CG17739,mRpS26
CG17739,scyl
pho,a6
CG17744,Fer3HCH
CG17744,CG4882
CG17744,Dysb
CG17744,CG7172
Med,CG32264
Med,Spx
Med,CG5703
Ccs,Zasp52
CG17754,CG5731
Acam,CaMKII
Acam,mRpL44
Acam,didum
Acam,CG2225
Acam,CG2955
Acam,ac
Acam,Inx2
Acam,CG5987
Acam,PP2A-B
Acam,CG8679
Acam,hng1
CG17776,CG17841
CG17776,CG18619
CG17776,didum
CG17776,Pi3K21B
CG17776,CG2765
CG17776,CG32473
CG17776,Hsp26
CG17776,Bin1
CG17776,Mf
CG17776,CG8578
CG17777,CG2034
CG17777,CG31550
CG17777,CG33099
CG17777,Spx
CG17777,CG3906
CG17777,elB
CG17777,CG4586
CG17777,CG34168
CG17777,l(3)psg2
CG17777,CG5225
CG17777,Art4
CG17777,Cpr92A
CG17777,CG6707
CG17777,Uro
CG17777,mRpS26
CG17777,CG7691
CG17777,Rac2
CG17777,Ada2b
CG17777,pum
CG17778,pen-2
CG17778,Grip84
CG17778,CG6398
CG17778,BicD
CG17778,CG8065
CG17778,CG9426
CG17781,AstC-R1
Golgin84,CG5026
Golgin84,CG6398
Golgin84,garz
Idgf4,flw
Idgf4,Nf-YA
Idgf4,CG8219
CG17801,HLH4C
CG17801,crn
CG17801,raps
CG17801,nudE
CG17802,CG4617
CG17802,CG7386
CG17819,CG18067
CG17819,CG4328
CG17819,PRL-1
CG17819,Tsp74F
CG17819,Sirt6
CG17819,CG7548
CG17819,ade2
Uba1,CG2540
Uba1,Pk17E
CG43896,odd
CG43896,cact
CG43896,CG6707
CG17826,CG30118
CG17826,Jarid2
CG17826,RpS24
CG17826,RpLP1
CG17826,Hmt-1
CG17826,RpL3
CG17826,CG4949
CG17826,Arr1
CG17826,RpL18A
CG17826,CoVIII
CG17826,eIF-4a
CG17826,frj
mod(r),Invadolysin
CG17829,Ser7
CG17829,CG2120
CG17829,CG2865
CG17829,Pgd
CG17829,TfIIA-L
CG17829,chrb
CG17829,Rpn10
CG17829,brk
Slip1,CG18336
Slip1,cm
Slip1,eco
Slip1,Neos
inv,eIF2B-beta
inv,VhaAC39-1
inv,CG30417
inv,stv
inv,CG33017
inv,S-Lap8
inv,CG5009
inv,Cdc5
inv,l(3)neo38
Xrp1,Mst84Dc
Xrp1,mei-S332
Xrp1,P32
Xrp1,CG8159
CG17855,RpL40
CG17855,RpL15
CG17855,RpLP1
CG17855,CG4617
CG17855,CG7386
CG17855,CG8159
CG17855,akirin
14-3-3zeta,VhaAC39-1
14-3-3zeta,Syx1A
14-3-3zeta,Oatp26F
14-3-3zeta,mon2
14-3-3zeta,Atg8a
14-3-3zeta,CG3335
14-3-3zeta,csw
14-3-3zeta,CG40127
14-3-3zeta,ftz-f1
14-3-3zeta,RpLP1
14-3-3zeta,CG5174
14-3-3zeta,Cpr92F
14-3-3zeta,Idh
14-3-3zeta,mrn
14-3-3zeta,mRpS30
14-3-3zeta,CG8907
14-3-3zeta,CG9184
cnc,Mst84Dc
cnc,Epac
cnc,CG3528
cnc,Pen
cnc,GstE1
cnc,gnu
cnc,SmB
cnc,Kap-alpha3
Cyt-c-p,s-cup
Cyt-c-p,CG30497
Cyt-c-p,ewg
Cyt-c-p,Cpn
Cyt-c-p,Cpr92F
Cyt-c-p,dl
Cyt-c-p,CG6891
Cyt-c-p,CG8292
Cyt-c-p,Sap47
Cyt-c-p,CG9014
Cyt-c-p,Zpr1
Cyt-c-p,slam
Cyt-c-p,Cpr73D
CG17912,CG32100
CG17919,CG3225
CG17919,CG6945
CG1792,CG1792
CG1792,CG6707
CG1792,CG7945
CG1792,CG9572
CG1792,M1BP
Acp95EF,spheroide
Mhc,CG18540
Mhc,sns
MED26,CG30497
MED26,qkr58E-1
MED26,cnn
MED26,CG8260
MED26,Prosbeta5R1
CG42446,Hn
Mst84Db,stops
Mst84Db,CG34376
Mst84Db,CG34449
Mst84Db,Clp
Mst84Db,tyf
Mst84Db,Nelf-A
Mst84Db,slow
Mst84Db,CG8031
Mst84Dd,CG34449
Mst84Dc,FeCH
Mst84Dc,Gsc
Mst84Dc,Sirt4
Mst84Dc,Ccn
Mst84Dc,Clp
Mst84Dc,CG40127
Mst84Dc,RpS16
Mst84Dc,CG5118
Mst84Dc,Zasp66
Mst84Dc,slou
Mst84Dc,ssp6
Mst84Dc,alphaCOP
Mst84Dc,alc
Mst84Dc,Srp9
Mst84Dc,CG9821
Mst84Dc,disco
Mst84Da,Pkc98E
Mst84Da,CG34376
Mst84Da,4E-T
Mst84Da,CG34449
Mst84Da,Clp
Mst84Da,gcm2
Mst84Da,DNApol-alpha73
Mst84Da,Ime4
Mst84Da,slou
Mst84Da,ssp6
Mst84Da,UbcD4
Mst84Da,CG8368
alpha-Cat,CG8239
alpha-Cat,P58IPK
His2B:CG17949,Mlc-c
HmgD,CstF-50
LBR,Atpalpha
Mst87F,Pkc98E
Mst87F,CG34376
Mst87F,Ccn
Mst87F,Clp
Mst87F,slou
Mst87F,CG9248
Mst87F,vari
Mst87F,disco
Sry-alpha,Xe7
Sry-alpha,CG2218
Sry-alpha,RpS28b
Sry-alpha,CG3085
Sry-alpha,CG3982
Sry-alpha,Hsp23
Sry-alpha,Aats-thr
Sry-alpha,Muc68D
Sry-alpha,Rip11
Sry-alpha,ArfGAP3
Sry-alpha,Rack1
Sry-alpha,CG7326
Sry-alpha,Prp3
Sry-alpha,l(3)L1231
Sry-alpha,Cct5
Sry-alpha,CG8578
Sry-alpha,Myb
Sry-alpha,CG9170
Sry-alpha,Sep4
Sry-alpha,CG9795
Tango4,stck
CG17977,CG8997
CG17985,PGRP-LC
CG17985,Gp150
ras,CG2199
Gprk2,RapGAP1
pasha,Su(H)
CG18004,SmB
CG18004,vari
beag,RhoGAP92B
beag,Miro
beag,CG7352
beag,CG8079
CG18011,mei-S332
CG18012,fd59A
lt,Sec61alpha
regucalcin,eIF3-S9
CG18031,4E-T
dgt1,MED28
Cpr57A,CG40127
Cpr57A,Unr
CG18067,CG42797
CG18067,CG5440
CaMKII,CG32809
CaMKII,CG4853
CaMKII,CG42369
CG18081,Fem-1
sev,sty
CG18088,mfrn
CG18088,RpL18A
CG18088,RpS8
CG1809,CG4415
Dsk,CG8507
CG18094,Df31
CG18094,Epac
shi,CG4476
Vps16B,Dys
mTTF,Rab40
mTTF,alphaTub84B
mTTF,PVRAP
CG18131,CG34404
CG18131,Neos
CG18135,Srp68
CG18135,RpS2
CG18135,AstC-R1
CG1814,CG5642
CG1814,RpL37a
CG1815,OS9
CG18178,akirin
CG18180,CG32036
RpL31,CG2116
RpL31,CG2246
RpL31,Pp2C1
RpL31,CG3847
RpL31,lace
RpL31,Cpr72Ea
RpL31,CG4835
RpL31,mil
RpL31,CG7928
RpL31,CG7987
RpL31,Drep-3
RpL31,CG8414
alt,sns
alt,CG33213
alt,cnn
alt,CG5037
alt,CG9331
Map60,emp
Map60,Pen
Map60,Hn
Strn-Mlck,CG5107
Strn-Mlck,CG9040
CG18259,CG18259
CG18259,koi
CG18259,Cen
CG18259,dor
CG18259,Rbp9
CG18259,Dpit47
CG18259,Bap60
CG18259,SmB
CG18259,raps
CG18259,CaBP1
CG18259,CG6333
CG18259,mbo
CG18259,CG8368
CG18259,CG9356
CG18259,CG9426
CG18266,SmE
CG18266,X11L
CG18266,CG7611
IM10,CG32772
Cyp6v1,RpS25
Act87E,CG31550
Act87E,Cpn
Act87E,raps
Act87E,tap
CG18292,chinmo
CG18292,RpL13
CG18292,CG4998
CG18292,tap
CG18292,akirin
CG18292,CG8924
CG18292,NaCP60E
PhKgamma,Drep-3
CG18301,CG3880
CG18301,Sec31
CG18304,NimB2
udd,CG2046
udd,CG7352
udd,Src64B
Rim2,E(spl)m3-HLH
ben,nopo
Clamp,CG7987
CSN3,CG2865
CSN3,C15
CSN3,CG9173
CSN3,CG9426
CG18336,Cpr72Ea
CG18336,hale
CG18336,CG8907
GC1,BM-40-SPARC
Cpr67Fb,Sgt
Cpr67Fb,CG6357
Cpr67Fa2,CG18563
Cpr67Fa2,CG4328
Cpr67Fa2,D
Cpr67Fa2,CG6688
Cpr67Fa2,C15
Cpr67Fa2,CG8907
CG34325,NC2beta
Rad23,mbt
Rad23,CG2926
Rad23,gem
Rad23,CG31482
Rad23,4E-T
Rad23,nwk
Rad23,Dek
Rad23,CG34404
Rad23,Prp3
Rad23,Pngl
Rad23,Gl
Mio,Fer1HCH
Mio,Vps20
Mio,CG6569
Mio,Neos
prtp,sns
ASPP,LanB1
Cyp49a1,loqs
ssp3,msd5
Tango6,CG32191
Tango6,Mdr49
Tango6,Grip84
Tango6,und
Tango6,Pen
Tango6,CG5214
Tango6,CG6770
Tango6,C15
Tango6,CG43780
Tango6,CG8642
CG18404,CG4434
CAP,Spx
CAP,by
Tango10,cher
Tango10,Fer3HCH
Tango10,C15
Tango10,vari
Tango10,mRpL54
ph-p,CG18417
ph-p,Sirt4
ph-p,CG32772
ph-p,Pli
ph-p,Nup75
alphaTry,rols
oys,CG8155
CG18446,CG9986
CG18449,RpL23
CG18449,P32
Lhr,Nf-YA
CG1847,CG9986
CG18476,RpL3
LIMK1,Csat
LIMK1,CG2889
LIMK1,Hsc70-4
LIMK1,RpL27
LIMK1,RpL4
LIMK1,Sce
LIMK1,prd
LIMK1,tld
LIMK1,Pk17E
LIMK1,eIF-4a
Tak1,Tab2
spen,CG2865
spen,CG43427
spen,CG33017
spen,CG8292
CG1850,msi
CG1850,CG6945
CG1850,CG8368
CG1850,Klp3A
CG1850,Nup54
CG1850,NimC1
Ady43A,Invadolysin
Ady43A,CG6332
Ady43A,CG8635
Spn88Ea,CG4753
Spn88Ea,Sgt
Spn88Ea,RpII33
Gr2a,PCNA
Gr2a,Hrb98DE
CG18538,CG9986
CG18539,Ptp61F
CG18540,lark
mtrm,Patronin
Cyp309a2,CG9986
ttk,bip2
ttk,lwr
ttk,CG42235
ttk,CG31365
ttk,Pp4-19C
ttk,ebd1
ttk,Stat92E
ttk,tx
ttk,Arr1
ttk,CG7200
ttk,NimC1
CG18568,ctp
r,CG9975
Ugt86Da,vir-1
mbt,RpL7A
mbt,Marf
mbt,rdx
koi,koi
koi,bip2
koi,CG31036
koi,CG31038
koi,CG3610
koi,Vha68-2
koi,Nf-YA
koi,pgant3
koi,l(2)efl
koi,RpL27
koi,Tektin-A
koi,CG5009
koi,CG5376
koi,CG5537
koi,Ing3
koi,RpS3
koi,CG7264
koi,Tfb1
koi,eco
koi,Graf
koi,by
koi,Drep-4
koi,Cpr73D
koi,CG9951
Pebp1,CG9986
CG18596,CG32772
CG18598,yip7
prod,Lmpt
prod,Pen
prod,CG7967
prod,Phf7
Not10,Act5C
Not10,Vps29
Not10,cln3
Not10,barc
Not10,ApepP
Not10,Pex7
Not10,mTerf5
Not10,CG7841
Not10,CG8531
Not10,lqf
Not10,RpL18
Not10,Sec61alpha
Vha100-2,Sirt4
Vha100-2,Sik2
Vha100-2,Bap60
Vha100-2,Rox8
Vha100-2,Rab6
Vha100-2,E5
CG18619,CG1968
CG18619,AdSL
CG18619,RhoGAP92B
CG18619,CG5280
CG18619,ari-2
CG18619,CG34404
CG18619,gt
CG18624,Hsc70-4
CG18624,Cpr92F
CG18624,trol
betaggt-II,CG18745
betaggt-II,ogre
betaggt-II,temp
betaggt-II,chinmo
betaggt-II,hbn
betaggt-II,Hexim
betaggt-II,Ca-P60A
betaggt-II,Nf-YA
betaggt-II,CG4829
betaggt-II,Syx7
betaggt-II,Mdh1
betaggt-II,CG5703
betaggt-II,CG6175
betaggt-II,CG7071
betaggt-II,eff
betaggt-II,l(3)L1231
betaggt-II,CG9265
CG18628,CG6843
CG18635,Sar1
Bem46,raps
CG18649,CG4617
Or98b,cm
CG18672,Atpalpha
e(r),CG3689
e(r),dx
e(r),Nup54
CG18731,CG1968
CG18731,Lin29
CG18731,pcs
CG18731,sm
Fur2,ssx
Fur2,CG34449
Fur2,Spx
Fur2,gcm2
Fur2,CG4820
Fur2,CG6569
Fur2,Rab26
CG18735,CG8368
Dop1R2,Ef1alpha48D
CG18745,Zasp52
CG18745,CG3225
CG18745,CG3402
CG18745,CG3605
CG18745,CG7335
CG18745,Tab2
CG18745,CG9588
CG18764,lqfR
CG18764,CG32354
CG18764,CG32369
CG18764,Tm2
CG18764,CG34404
CG18764,CG7386
CG18764,CG8159
CG18764,exd
CG18764,ranshi
CG18766,bip2
CG18766,CG2199
CG18766,CG44009
CG18766,CalpB
Cul1,Hsp60B
Cpr65Ax2,dl
MED20,CG3880
CG18788,Cdc5
alpha-Man-II,Myo95E
alpha-Man-II,CG32772
Psn,CG30480
OS9,mRpL44
OS9,aph-1
OS9,KCNQ
OS9,Grip84
OS9,CG40127
OS9,Su(P)
OS9,HLH54F
OS9,T-cp1
OS9,CG5376
OS9,CG5676
OS9,Gp150
OS9,CG5938
OS9,RpL14
OS9,CG6398
OS9,ctp
OS9,CG7386
OS9,snRNP-U1-70K
CG18810,alph
CG18810,CG3605
CG18812,RpS19b
CG18812,AstC-R1
CG18812,CG9986
CG18815,CG4617
RpS7,noi
RpS7,gem
RpS7,CG32772
RpS7,sav
RpS7,Epac
RpS7,CG3847
RpS7,CG45057
RpS7,TfIIA-L
RpS7,CG6353
RpS7,Vps39
RpS7,CG7231
RpS7,CG7352
RpS7,HP1e
RpS7,CG8316
RpS7,CG8368
RpS7,Pnn
RpS7,dimm
RpS7,CG9173
RpS7,CG9331
ATP7,CG9784
CG1888,Pen
CG1890,vari
scramb2,Nurf-38
scramb2,CG6357
CG1894,CG2182
CG1894,Ubc-E2H
CG1894,CG31549
CG1894,mask
CG1894,RpS2
CG1894,Vps4
CG1894,loqs
CG1894,GlyP
CG1894,Hel25E
CG1894,sima
CG1894,CG44243
CG1894,sun
CG1894,eIF-4a
Dr,CG9986
mav,CG5846
alph,Cht11
alph,TwdlW
alph,dbe
CG1909,Tpc1
CG1910,CG7987
Cap-D2,CG2865
alphaTub84B,sav
alphaTub84B,Traf-like
alphaTub84B,CG4753
alphaTub84B,Tektin-A
alphaTub84B,CHIP
alphaTub84B,Adk3
alphaTub84B,mus304
Cpr62Bc,HHEX
Cpr62Bc,CG7813
sty,TMS1
sty,CG5188
sty,hale
sty,Got1
sty,brk
mus205,CG1999
mus205,fd59A
mus205,Rab8
mus205,E5
sip3,Arr1
Pkc98E,Epac
Pkc98E,CG3731
Pkc98E,Plap
Pkc98E,CG5440
Pkc98E,B-H1
Pkc98E,hale
CG1958,HLH4C
CG1958,CG6380
Cen,CG31029
Cen,Ccn
Cen,Ubpy
Cen,CG6415
Cen,HP1e
Pcd,bocksbeutel
Acf1,CG2224
CG1968,CSN7
CG1968,CG30183
CG1968,CG31324
CG1968,sals
CG1968,CG32809
CG1968,Bap60
CG1968,CG4617
CG1968,nopo
CG1968,Sec6
CG1968,Ndc1
CG1968,lbl
CG1968,CG7352
